suit,name,meaning,number,astrology,
major_arcana,Fool,"Beginning, innocence, spontaneity, carefree ",0,Uranus,
major_arcana,Magician,"Power, skill, concentration, action ",1,Mercury,
major_arcana,High Priestess,"Intuition, Higher power, mystery ",2,Moon,
major_arcana,Empress,"Femininity, nurturing, Mother Earth, fertility ",3,Venus,
major_arcana,Emperor,"Authority, father-figure, structure, stability ",4,Aries,
major_arcana,Hierophant,"Conformity, tradition, religion ",5,Taurus,
major_arcana,Lovers,"Love, union, bonds, alignment, relationships ",6,Gemini,
major_arcana,Chariot,"Control, will power, victory, assertion ",7,Cancer,
major_arcana,Strength,"Strength, courage, patience, soft control ",8,Leo,
major_arcana,Hermit,"Soul-searching, introspection, isolation, guidance ",9,Virgo,
major_arcana,Wheel of Fortune,"Luck, karma, destiny, turning point ",10,Jupiter,
major_arcana,Justice,"Justice, fairness, karma, cause and effect ",11,Libra,
major_arcana,Hanged Man,"Suspension, letting go, sacrifice, martyrdom ",12,Neptune,
major_arcana,Death,"Endings, beginnings, life cycle, transition ",13,Scorpio,
major_arcana,Temperance,"Balance, moderation, patience ",14,Sagittarius,
major_arcana,Devil,"Bondage, addiction, sexuality, materialism ",15,Capricorn,
major_arcana,Tower,"Disaster, shaken foundations, sudden change ",16,Mars,
major_arcana,Star,"Hope, spirituality, renewal, inspiration ",17,Aquarius,
major_arcana,Moon,"Illusion, fear, insecurity, mystery ",18,Pisces,
major_arcana,Sun,"Fun, warmth, love, positivity, vitality ",19,Sun,
major_arcana,Judgment,"Judgment, rebirth, inner calling ",20,Pluto,
major_arcana,World,"Completion, integration, accomplishment ",21,Saturn,
wands,Ace,"Inspiration, power, creation, beginnings ",1,,
wands,Two,"Dominion, decision, negotiation, obstacles ",2,,
wands,Three,"Preparation, group energy, fate, luck ",3,,
wands,Four,"Celebration, harmony, marriage, holiday, relaxing ",4,,
wands,Five,"Collaboration, irritation, competition, strife ",5,,
wands,Six,"Recognition, victory, progress, excellent news ",6,,
wands,Seven,"Challenge, good results, valour ",7,,
wands,Eight,"Passion, speed, flight, activation ",8,,
wands,Nine,"Courage, persistence, advantage, stability ",9,,
wands,Ten,"Accomplishment, stress, excess activity, oppression ",10,,
wands,Page,"Ambition, enthusiasm, pure intention, helpful info ",,,
wands,Knight,"Excitement, energy, flexible intuition, adventure ",,,
wands,Queen,"Exuberance, initiatory self, socialite ",,,
wands,King,"Leadership, entrepreneur, conscious self, honor ",,,
swords,Ace,"Raw power, victory, break-through ",1,,
swords,Two,"Karmic balance, stalemate, blocked emotions ",2,,
swords,Three,"Painful separation, heartbreak, sorrow, grief ",3,,
swords,Four,"Meditation, recuperation, reflection, withdrawal ",4,,
swords,Five,"Blocked path, selfish, self-interest, humiliation ",5,,
swords,Six,"Transition, passage, moving on, journey ",6,,
swords,Seven,"Trust issue, sneaky, being evasive, betrayal ",7,,
swords,Eight,"Isolation, restriction, no choice, stifled ",8,,
swords,Nine,"Depression, nightmares, worry, hopelessness ",9,,
swords,Ten,"Back-stabbed, desolation, catastrophe, defeat ",10,,
swords,Page,"Talkative, curious, mentally restless ",,,
swords,Knight,"Opinionated, well-developed communication skills ",,,
swords,Queen,"Quick thinker, perceptive, cuts to the chase ",,,
swords,King,"Clear thinking, practical, logical, sharp mind ",,,
pentacles,Ace,"Manifestation, security, wealth, new enterprise ",1,,
pentacles,Two,"Balance, adaptability, harmony in change ",2,,
pentacles,Three,"Negotiation, skill, employment, skill, teamwork ",3,,
pentacles,Four,"Control, stability, security ",4,,
pentacles,Five,"Isolation, insecurity, worry, loss ",5,,
pentacles,Six,"Generosity, success, charity, prosperity ",6,,
pentacles,Seven,"Vision, perseverance, profit ",7,,
pentacles,Eight,"Improvement, apprenticeship, education, purpose ",8,,
pentacles,Nine,"Gratitude, accomplishments, luck, culmination ",9,,
pentacles,Ten,"Wealth, inheritance, old age ",10,,
pentacles,Page,"Entitlement, good news ",,,
pentacles,Knight,"Efficiency, potentiality ",,,
pentacles,Queen,"Practicality, security ",,,
pentacles,King,"Security, influence ",,,
cups,Ace,"New love, emotions, contemplation, good karma ",1,,
cups,Two,"Unified love, partnership, romance ",2,,
cups,Three,"Celebration, birth, harmony, planned pregnancy ",3,,
cups,Four,"Boredom, hope, re-evaluation, apathy ",4,,
cups,Five,"Despair, disappointment, regret, change ",5,,
cups,Six,"Reunion, nostalgia, pleasure, childhood ",6,,
cups,Seven,"Fantasy, illusion, possibility, magic, imagination ",7,,
cups,Eight,"Turning away, abandonment, independence ",8,,
cups,Nine,"Wishes fulfilled, comfort, happiness ",9,,
cups,Ten,"Attainment, marriage, familiarity, contentment ",10,,
cups,Page,"A messenger, a service rendered ",,,
cups,Knight,"Knight in shining armour, romance, offer of love ",,,
cups,Queen,Emotional security ,,,
cups,King,Honorable feelings ,,,
